Xm,Ym
1036269.046568995,1290452.931038638
1036269.904682348,1290317.806828802
1036270.82142228,1290173.450889431
1036271.800794433,1290019.232466018
1036272.847077959,1289854.477734819
1036273.964843942,1289678.466902601
1036275.158976287,1289490.430917434
1036276.434692333,1289289.548222572
1036277.797565986,1289074.941113717
1036279.253551831,1288845.671942827
1036280.809011361,1288600.738986725
1036282.470740982,1288339.07203863
1036002.523560007,1287967.537000002
1035720.801120051,1287875.546000017
1035439.078680036,1287783.555000012
1035157.356240048,1287691.564000016
1034875.633800038,1287599.573000012
1034593.911360004,1287507.582000001
1034312.188919999,1287415.591
1034030.46647996,1287323.599999987
1033748.744039982,1287231.608999994
1033467.021599964,1287139.617999988
1033185.299160005,1287047.627000001
1032903.576720015,1286955.636000005
1032621.854280026,1286863.645000008
1032340.131840036,1286771.654000012
1032058.409400036,1286679.663000012
1031776.686960018,1286587.672000006
1031494.96452004,1286495.681000013
1031213.242080001,1286403.69
1030931.519639996,1286311.698999999
1030649.797199962,1286219.707999988
1030368.074759952,1286127.716999984
1030086.352319964,1286035.725999988
1029804.629879949,1285943.734999983
1029522.907439993,1285851.743999998
1029009.610428554,1285925.163428584
1028778.035857102,1286090.573857172
1028546.461285782,1286255.984285666
1028314.886714345,1286421.394714243
1028083.31214289,1286586.805142834
1027851.737571447,1286752.215571415
1027620.163,1286917.626
1027388.588428553,1287083.036428585
1027157.01385711,1287248.446857166
1026925.439285655,1287413.857285757
1026693.864714218,1287579.267714334
1026462.290142898,1287744.678142828
1026230.715571446,1287910.088571416
1025746.272166742,1288189.955333299
1025493.403333258,1288304.411666701
1025240.5345,1288418.868
1024987.665666742,1288533.324333299
1024734.796833258,1288647.780666701
1024467.729746408,1288915.820859759
1024456.807059561,1289033.972602451
1024448.40425759,1289124.866510715
1024390.975999973,1289238.474333356
1024340.012000027,1289282.157666644
1024289.048,1289325.841
1024238.083999973,1289369.524333356
1024187.120000027,1289413.207666644
1024108.21301378,1289529.779299734
1024080.096285964,1289603.120798332
1024051.804739317,1289676.918305718
1024023.337284417,1289751.174663613
1023994.692832962,1289825.892710818
1023965.870271871,1289901.075350763
1023936.868506681,1289976.725438313
1023907.686414602,1290052.845902234
1023878.322886669,1290129.439635216
1023848.776774436,1290206.509632941
1023819.046960709,1290284.058809574
1023789.132286758,1290362.090187619
1023759.031619544,1290440.606722567
1023728.743796432,1290519.611447115
1023698.267654987,1290599.107393429
1023667.602022543,1290679.09762037
1023636.745714513,1290759.585217891
1023605.697560905,1290840.573237876
1023574.456353533,1290922.064831832
1023543.020898221,1291004.063114732
1023511.389989067,1291086.571232123
1023479.562408835,1291169.592359127
1023447.536932847,1291253.129690269
1023415.312338738,1291337.186414048
1023382.887376497,1291421.765791073
1023350.26080255,1291506.871065163
1023317.431372223,1291592.505483009
1023284.397818701,1291678.672349051
1023251.158875269,1291765.374967472
1023217.713261001,1291852.616679521
1023184.059688787,1291940.40084258
1023150.196874477,1292028.73080631
1023116.123508722,1292117.609986101
1023081.83828936,1292207.041778597
1023047.339891154,1292297.029640632
1028525.880000027,1294037.183599948
1028642.369000012,1293810.030199976
1028758.857999988,1293582.876800024
1028875.346999973,1293355.723400052
1029237.294857189,1293215.936714302
1029482.753714257,1293303.303428561
1029728.212571405,1293390.670142849
1029973.671428595,1293478.036857151
1030219.130285743,1293565.403571439
1030464.589142811,1293652.770285698
1030570.261200021,1293984.763799963
1030430.474400015,1294229.390599975
1030290.687599985,1294474.017400025
1030150.900799979,1294718.644200037
1029744.160166586,1294846.781999965
1029477.206333414,1294730.293000035
1029210.2525,1294613.804
1028943.298666586,1294497.314999965
1028676.344833414,1294380.826000035
1025567.059199963,1292476.231200058
1025724.319399984,1292231.604400025
1025881.579600016,1291986.977599975
1026038.839800037,1291742.350799942
1026458.200166666,1291623.920333333
1026720.300333316,1291750.116666658
1026982.4005,1291876.313
1027244.500666684,1292002.509333342
