Xm,Ym,B_1
1035731.633,1291359.727,0.0500000007450581
1035617.828,1291472.157,0.0500000007450581
1035487.774,1291752.275,0.0500000007450581
1035457.762,1292002.38,0.0500000007450581
1035377.729,1292242.482,0.0500000007450581
1035167.642,1292512.595,0.0500000007450581
1034977.563,1292552.612,0.0500000007450581
1034897.53,1292652.654,0.0500000007450581
1034587.403,1292752.696,0.0500000007450581
1034364.124,1292721.039,0.0500000007450581
1034107.204,1292702.675,0.0500000007450581
1033817.085,1292702.675,0.0500000007450581
1033725.815,1292673.011,0.0500000007450581
1033597.74,1292677.142,0.0500000007450581
1033500.651,1292710.194,0.0500000007450581
1033261.027,1292796.954,0.0500000007450581
1032906.709,1292772.705,0.0500000007450581
1032606.585,1292642.65,0.0500000007450581
1032366.486,1292592.629,0.0500000007450581
1032221.968,1292589.865,0.0500000007450581
1032116.383,1292632.646,0.0199999995529652
1032066.362,1292692.671,0.0199999995529652
1031976.325,1292672.663,0.0199999995529652
1031906.296,1292662.658,0.0199999995529652
1031716.218,1292612.637,0.0199999995529652
1031496.127,1292472.578,0.0199999995529652
1031416.094,1292362.532,0.0199999995529652
1031456.111,1292092.418,0.0199999995529652
1031466.115,1291732.267,0.0199999995529652
1031406.09,1291222.052,0.0199999995529652
1031336.061,1290961.943,0.0199999995529652
1031206.008,1290721.842,0.0199999995529652
1030885.875,1290411.711,0.0199999995529652
1030565.743,1289971.526,0.0199999995529652
1030385.669,1289831.467,0.0199999995529652
1030255.615,1289701.412,0.0199999995529652
1029805.43,1289491.324,0.0329999998211861
1029575.335,1289321.252,0.0329999998211861
1029445.281,1289271.231,0.0329999998211861
1029315.228,1289211.206,0.0329999998211861
1029225.19,1289211.206,0.0329999998211861
1028965.083,1289221.21,0.0329999998211861
1028768.595,1289290.388,0.0329999998211861
1028555.825,1289453.58,0.0329999998211861
1028419.487,1289711.796,0.0329999998211861
1028332.727,1290257.147,0.0329999998211861
1028404.852,1290491.745,0.0329999998211861
1028514.897,1290741.85,0.0329999998211861
1029145.157,1291262.069,0.0329999998211861
1029485.298,1291412.132,0.0329999998211861
1029675.376,1291452.149,0.0199999995529652
1029755.409,1291582.204,0.0199999995529652
1029702.302,1291680.43,0.0199999995529652
1029439.955,1291742.402,0.0329999998211861
1029175.17,1291772.284,0.0329999998211861
1028905.058,1291752.275,0.0329999998211861
1028444.868,1291632.225,0.0329999998211861
1027594.518,1291282.077,0.0329999998211861
1027513.409,1291231.652,0.0329999998211861
1027460.733,1291202.732,0.0329999998211861
1027404.439,1291172.031,0.0329999998211861
1026854.212,1290781.867,0.0329999998211861
1026434.039,1290331.677,0.0329999998211861
1026053.882,1290041.555,0.0329999998211861
1025283.564,1289661.395,0.0329999998211861
1024963.432,1289441.303,0.0329999998211861
1024465.601,1289230.284,0.0199999995529652
1034190.157,1291140.976,0.0500000007450581
1031365.299,1288286.996,0.0199999995529652
1028773.419,1288345.241,0.0329999998211861
1023101.51653735,1292435.12979234,0.0199999995529652
1023192.13588775,1292483.60797415,0.0199999995529652
1023284.51880732,1292533.02960376,0.0199999995529652
1023378.69956615,1292583.41301446,0.0199999995529652
1023474.71315938,1292634.77692744,0.0199999995529652
1023572.59524051,1292687.14041608,0.0199999995529652
1023672.38221495,1292740.52295598,0.0199999995529652
1023774.11110202,1292794.94435119,0.0199999995529652
1023877.81973224,1292850.42483973,0.0199999995529652
1023983.546631,1292906.98503131,0.0199999995529652
1024091.33105229,1292964.64592545,0.0199999995529652
1024201.21303806,1293023.4289432,0.0199999995529652
1024313.23344165,1293083.35593967,0.0199999995529652
1024427.43384368,1293144.44915902,0.0199999995529652
1024543.85667477,1293206.73130017,0.0199999995529652
1024662.54521452,1293270.22551617,0.0199999995529652
1024783.54350126,1293334.95536599,0.0199999995529652
1024906.89654968,1293400.94493093,0.0199999995529652
1025032.65013992,1293468.21870174,0.0199999995529652
1025160.85099721,1293536.8016748,0.0199999995529652
1025291.54675072,1293606.71933005,0.0329999998211861
1025424.78594135,1293677.99763516,0.0329999998211861
1025560.61809125,1293750.66308276,0.0329999998211861
1025699.09364951,1293824.74266134,0.0329999998211861
1025840.26407042,1293900.26389714,0.0329999998211861
1025984.18177237,1293977.25483218,0.0329999998211861
1026130.90023759,1294055.74407758,0.0329999998211861
1026280.47396834,1294135.76079013,0.0329999998211861
1026432.95851926,1294217.33468963,0.0329999998211861
1026588.41056306,1294300.49609399,0.0329999998211861
1026746.88782431,1294385.27588383,0.0329999998211861
1026908.44922109,1294471.70557828,0.0329999998211861
1027073.15472193,1294559.81725838,0.0329999998211861
1027241.06546559,1294649.64363125,0.0329999998211861
1027412.24398227,1294741.21814835,0.0329999998211861
1027586.75369385,1294834.57473816,0.0329999998211861
1027764.65959067,1294929.74816825,0.0329999998211861
1027946.02759361,1295026.77370398,0.0329999998211861
1028130.92524235,1295125.68747672,0.0329999998211861
1028319.42117937,1295226.52620778,0.0329999998211861
1028511.58536097,1295329.32732135,0.0329999998211861
1028707.48922119,1295434.12903214,0.0329999998211861
1028907.20548072,1295540.97024316,0.0199999995529652
1029110.80848349,1295649.89072582,0.0199999995529652
1029318.37373505,1295760.93087296,0.0199999995529652
